Timestamp,RTU_1 DAClgSetpt(°F)
05-Sep-19 04:00:00 pm,60.6
06-Sep-19 04:00:00 am,58.6
06-Sep-19 04:00:00 pm,60.6
09-Sep-19 04:00:00 am,59.5
09-Sep-19 04:00:00 pm,60.4
10-Sep-19 04:00:00 am,63.0
10-Sep-19 08:00:00 am,59.2
10-Sep-19 04:00:00 pm,60.2
11-Sep-19 04:00:00 am,59.4
11-Sep-19 04:00:00 pm,60.2
12-Sep-19 04:00:00 am,59.6
12-Sep-19 04:00:00 pm,60.7
13-Sep-19 04:00:00 am,59.5
13-Sep-19 04:00:00 pm,60.6
16-Sep-19 04:00:00 am,59.6
16-Sep-19 08:00:00 am,58.4
16-Sep-19 12:00:00 pm,58.3
16-Sep-19 04:00:00 pm,60.4
17-Sep-19 04:00:00 am,61.0
17-Sep-19 08:00:00 am,59.6
17-Sep-19 04:00:00 pm,60.6
18-Sep-19 04:00:00 am,59.3
18-Sep-19 08:00:00 am,61.3
18-Sep-19 04:00:00 pm,60.5
19-Sep-19 04:00:00 am,58.9
19-Sep-19 08:00:00 am,60.2
19-Sep-19 04:00:00 pm,60.4
20-Sep-19 04:00:00 am,59.5
20-Sep-19 04:00:00 pm,60.6
23-Sep-19 04:00:00 am,59.7
23-Sep-19 08:00:00 am,55.8
23-Sep-19 04:00:00 pm,60.5
24-Sep-19 04:00:00 am,59.0
24-Sep-19 08:00:00 am,57.6
24-Sep-19 04:00:00 pm,60.4
25-Sep-19 04:00:00 am,59.4
25-Sep-19 08:00:00 am,57.5
25-Sep-19 04:00:00 pm,60.4
26-Sep-19 04:00:00 am,59.1
26-Sep-19 08:00:00 am,59.3
26-Sep-19 04:00:00 pm,60.5
27-Sep-19 04:00:00 am,59.6
27-Sep-19 08:00:00 am,60.7
27-Sep-19 04:00:00 pm,60.8
30-Sep-19 04:00:00 am,63.4
30-Sep-19 08:00:00 am,58.6
30-Sep-19 04:00:00 pm,60.5
01-Oct-19 04:00:00 am,59.4
01-Oct-19 08:00:00 am,60.6
01-Oct-19 12:00:00 pm,58.2
01-Oct-19 04:00:00 pm,60.5
02-Oct-19 12:00:00 pm,59.9
02-Oct-19 04:00:00 pm,59.6
03-Oct-19 08:00:00 am,59.8
03-Oct-19 12:00:00 pm,57.9
03-Oct-19 04:00:00 pm,60.9
04-Oct-19 12:00:00 pm,59.6
04-Oct-19 04:00:00 pm,60.5
05-Oct-19 04:00:00 pm,62.2
07-Oct-19 12:00:00 pm,64.0
07-Oct-19 04:00:00 pm,63.1
08-Oct-19 04:00:00 pm,59.8
09-Oct-19 12:00:00 pm,59.7
09-Oct-19 04:00:00 pm,60.5
10-Oct-19 08:00:00 am,61.9
10-Oct-19 12:00:00 pm,57.7
10-Oct-19 04:00:00 pm,60.8
11-Oct-19 08:00:00 am,61.8
11-Oct-19 12:00:00 pm,57.9
11-Oct-19 04:00:00 pm,60.4
14-Oct-19 12:00:00 pm,59.3
14-Oct-19 04:00:00 pm,60.5
15-Oct-19 08:00:00 am,59.8
15-Oct-19 12:00:00 pm,59.5
15-Oct-19 04:00:00 pm,60.4
16-Oct-19 08:00:00 am,58.6
16-Oct-19 12:00:00 pm,58.0
16-Oct-19 04:00:00 pm,60.3
17-Oct-19 08:00:00 am,59.6
17-Oct-19 12:00:00 pm,60.0
17-Oct-19 04:00:00 pm,60.8
21-Oct-19 04:00:00 pm,60.8
22-Oct-19 08:00:00 am,59.6
22-Oct-19 04:00:00 pm,60.7
23-Oct-19 08:00:00 am,63.4
23-Oct-19 12:00:00 pm,58.8
23-Oct-19 04:00:00 pm,60.7
24-Oct-19 12:00:00 pm,59.3
24-Oct-19 04:00:00 pm,60.6
25-Oct-19 04:00:00 pm,59.9
28-Oct-19 12:00:00 pm,59.5
28-Oct-19 04:00:00 pm,60.5
29-Oct-19 08:00:00 am,62.8
29-Oct-19 12:00:00 pm,59.7
29-Oct-19 04:00:00 pm,60.7
30-Oct-19 08:00:00 am,62.3
30-Oct-19 12:00:00 pm,60.1
30-Oct-19 04:00:00 pm,60.3
31-Oct-19 12:00:00 pm,59.5
31-Oct-19 04:00:00 pm,60.5
01-Nov-19 08:00:00 am,62.2
01-Nov-19 12:00:00 pm,58.4
01-Nov-19 04:00:00 pm,60.5
04-Nov-19 12:00:00 pm,59.4
04-Nov-19 04:00:00 pm,60.8
05-Nov-19 12:00:00 pm,59.7
05-Nov-19 04:00:00 pm,60.5
06-Nov-19 12:00:00 pm,59.5
06-Nov-19 04:00:00 pm,60.6
07-Nov-19 12:00:00 pm,59.3
07-Nov-19 04:00:00 pm,60.3
08-Nov-19 12:00:00 pm,59.5
08-Nov-19 04:00:00 pm,60.7
11-Nov-19 12:00:00 pm,59.6
11-Nov-19 04:00:00 pm,60.8
12-Nov-19 12:00:00 pm,59.3
12-Nov-19 04:00:00 pm,60.3
13-Nov-19 12:00:00 pm,59.6
13-Nov-19 04:00:00 pm,60.4
14-Nov-19 04:00:00 pm,60.1
15-Nov-19 12:00:00 pm,59.5
