Timestamp,RTU_1 OccManCmd
01-Jun-19 11:12:57 am,Unocc
01-Jun-19 05:52:53 pm,Occ
01-Jun-19 06:21:25 pm,Unocc
01-Jun-19 09:33:19 pm,Occ
01-Jun-19 09:47:21 pm,Unocc
02-Jun-19 04:46:56 pm,Occ
02-Jun-19 05:13:33 pm,Unocc
02-Jun-19 06:58:30 pm,Occ
02-Jun-19 07:30:31 pm,Unocc
03-Jun-19 04:43:40 am,Occ
03-Jun-19 06:01:01 pm,Unocc
04-Jun-19 06:00:33 am,Occ
04-Jun-19 06:00:52 pm,Unocc
04-Jun-19 09:57:31 pm,Occ
04-Jun-19 10:28:32 pm,Unocc
05-Jun-19 06:00:06 am,Occ
05-Jun-19 06:01:15 pm,Unocc
05-Jun-19 09:59:37 pm,Occ
05-Jun-19 10:29:52 pm,Unocc
06-Jun-19 06:00:13 am,Occ
06-Jun-19 06:01:29 pm,Unocc
06-Jun-19 10:04:36 pm,Occ
06-Jun-19 10:34:50 pm,Unocc
07-Jun-19 02:14:16 am,Occ
07-Jun-19 02:44:28 am,Unocc
07-Jun-19 06:00:14 am,Occ
07-Jun-19 06:01:35 pm,Unocc
09-Jun-19 09:19:19 pm,Occ
09-Jun-19 09:51:02 pm,Unocc
10-Jun-19 06:00:23 am,Occ
10-Jun-19 06:00:52 pm,Unocc
10-Jun-19 09:56:59 pm,Occ
10-Jun-19 10:28:14 pm,Unocc
11-Jun-19 05:20:29 am,Occ
11-Jun-19 06:00:52 pm,Unocc
11-Jun-19 10:17:17 pm,Occ
11-Jun-19 10:47:38 pm,Unocc
12-Jun-19 04:26:21 am,Occ
12-Jun-19 06:01:08 pm,Unocc
12-Jun-19 09:57:04 pm,Occ
12-Jun-19 10:27:55 pm,Unocc
12-Jun-19 11:12:29 pm,Unocc
13-Jun-19 04:00:19 am,Occ
13-Jun-19 06:01:01 pm,Unocc
13-Jun-19 10:16:15 pm,Occ
13-Jun-19 10:46:43 pm,Unocc
14-Jun-19 05:36:20 am,Occ
14-Jun-19 06:01:22 pm,Unocc
16-Jun-19 04:43:35 pm,Occ
16-Jun-19 05:28:45 pm,Unocc
16-Jun-19 07:17:17 pm,Occ
16-Jun-19 07:45:26 pm,Unocc
17-Jun-19 04:11:19 am,Occ
17-Jun-19 06:01:10 pm,Unocc
17-Jun-19 10:18:22 pm,Occ
17-Jun-19 10:49:05 pm,Unocc
18-Jun-19 04:46:20 am,Occ
18-Jun-19 06:00:58 pm,Unocc
19-Jun-19 06:00:16 am,Occ
19-Jun-19 06:01:54 pm,Unocc
19-Jun-19 10:08:54 pm,Occ
19-Jun-19 10:39:39 pm,Unocc
20-Jun-19 06:00:10 am,Occ
20-Jun-19 06:01:00 pm,Unocc
20-Jun-19 10:19:38 pm,Occ
20-Jun-19 10:50:21 pm,Unocc
21-Jun-19 06:00:11 am,Occ
21-Jun-19 06:00:52 pm,Unocc
24-Jun-19 06:00:22 am,Occ
24-Jun-19 06:00:43 pm,Unocc
25-Jun-19 06:00:09 am,Occ
25-Jun-19 06:01:14 pm,Unocc
25-Jun-19 10:32:52 pm,Occ
25-Jun-19 11:04:05 pm,Unocc
26-Jun-19 06:00:08 am,Occ
26-Jun-19 06:01:27 pm,Unocc
26-Jun-19 10:16:25 pm,Occ
26-Jun-19 10:47:10 pm,Unocc
27-Jun-19 06:00:12 am,Occ
27-Jun-19 06:01:09 pm,Unocc
27-Jun-19 10:13:17 pm,Occ
27-Jun-19 10:44:16 pm,Unocc
28-Jun-19 06:00:23 am,Occ
28-Jun-19 06:00:55 pm,Unocc
28-Jun-19 11:11:54 pm,Occ
28-Jun-19 11:42:06 pm,Unocc
29-Jun-19 02:59:09 pm,Occ
29-Jun-19 03:29:28 pm,Unocc
29-Jun-19 05:11:38 pm,Occ
29-Jun-19 05:37:31 pm,Unocc
29-Jun-19 07:12:45 pm,Occ
29-Jun-19 07:42:11 pm,Unocc
30-Jun-19 03:22:38 pm,Occ
30-Jun-19 03:55:03 pm,Unocc
30-Jun-19 05:07:39 pm,Occ
30-Jun-19 05:36:19 pm,Unocc
30-Jun-19 06:43:12 pm,Occ
30-Jun-19 07:29:14 pm,Unocc
01-Jul-19 04:00:25 am,Occ
01-Jul-19 06:02:14 pm,Unocc
01-Jul-19 10:01:55 pm,Occ
01-Jul-19 10:32:29 pm,Unocc
02-Jul-19 04:57:22 am,Occ
02-Jul-19 06:01:11 pm,Unocc
02-Jul-19 10:07:07 pm,Occ
02-Jul-19 10:37:35 pm,Unocc
03-Jul-19 06:00:12 am,Occ
03-Jul-19 06:01:19 pm,Unocc
03-Jul-19 09:54:06 pm,Occ
03-Jul-19 10:24:19 pm,Unocc
04-Jul-19 06:00:19 am,Occ
04-Jul-19 06:00:57 pm,Unocc
05-Jul-19 06:00:16 am,Occ
05-Jul-19 06:00:50 pm,Unocc
08-Jul-19 06:00:09 am,Occ
08-Jul-19 06:00:59 pm,Unocc
08-Jul-19 10:02:34 pm,Occ
08-Jul-19 10:33:33 pm,Unocc
09-Jul-19 05:58:21 am,Occ
09-Jul-19 06:01:01 pm,Unocc
09-Jul-19 10:09:07 pm,Occ
09-Jul-19 10:39:36 pm,Unocc
10-Jul-19 05:33:26 am,Occ
10-Jul-19 05:39:23 pm,Occ
10-Jul-19 05:39:46 pm,Unocc
10-Jul-19 05:40:09 pm,Occ
10-Jul-19 06:01:15 pm,Unocc
10-Jul-19 10:04:06 pm,Occ
10-Jul-19 10:33:33 pm,Unocc
11-Jul-19 05:47:25 am,Occ
11-Jul-19 06:00:50 pm,Unocc
11-Jul-19 10:05:33 pm,Occ
11-Jul-19 10:41:24 pm,Unocc
12-Jul-19 05:59:26 am,Occ
12-Jul-19 06:01:40 pm,Unocc
13-Jul-19 04:00:51 pm,Occ
13-Jul-19 04:37:11 pm,Unocc
13-Jul-19 05:41:45 pm,Occ
13-Jul-19 06:16:51 pm,Unocc
13-Jul-19 08:07:57 pm,Occ
13-Jul-19 08:33:47 pm,Unocc
14-Jul-19 02:37:45 pm,Occ
14-Jul-19 03:09:46 pm,Unocc
14-Jul-19 04:13:31 pm,Occ
14-Jul-19 04:56:33 pm,Unocc
14-Jul-19 05:50:04 pm,Occ
14-Jul-19 06:25:55 pm,Unocc
14-Jul-19 07:58:01 pm,Occ
14-Jul-19 08:29:59 pm,Unocc
15-Jul-19 04:00:29 am,Occ
15-Jul-19 06:00:48 pm,Unocc
15-Jul-19 09:55:15 pm,Occ
15-Jul-19 10:25:27 pm,Unocc
16-Jul-19 05:21:29 am,Occ
16-Jul-19 06:02:22 pm,Unocc
16-Jul-19 10:03:05 pm,Occ
16-Jul-19 10:33:31 pm,Unocc
17-Jul-19 04:34:51 am,Occ
17-Jul-19 06:01:07 pm,Unocc
18-Jul-19 06:00:16 am,Occ
18-Jul-19 06:01:38 pm,Unocc
